"source,text,created_at,retweet_count,favorite_count,is_retweet,id_str"
"Twitter for iPhone,RT @TommyHicksGOP: For years China has engaged in unfair trade practices. While the US-China relationship is important @realDonaldTrump i...,05-11-2019 12:08:19,4368,0,true,1127183652000022529"
"Twitter for iPhone,RT @LindseyGrahamSC: Will stand behind President @realDonaldTrump and his team as he insists on a  great deal with China.  It's our last...,05-11-2019 12:07:33,7516,0,true,1127183459070423041"
"Twitter for iPhone,RT @LindseyGrahamSC: @realDonaldTrump When it comes to China we must be willing to accept short term pain for long term gain. Stick to y...,05-11-2019 12:07:11,6900,0,true,1127183366791548928"
"Twitter for iPhone,RT @realDonaldTrump: ....If we bought 15 Billion Dollars of Agriculture from our Farmers far more than China buys now we would have more...,05-11-2019 00:11:23,15190,0,true,1127003228552531970"
"Twitter for iPhone,Over the course of the past two days the United States and China have held candid and constructive conversations on the status of the trade relationship between both countries. The relationship between President Xi and myself remains a very strong one and conversations....,05-10-2019 19:14:04,17197,85559,false,1126928408934535168"
"Twitter for iPhone,....into the future will continue. In the meantime the United States has imposed Tariffs on China which may or may not be removed depending on what happens with respect to future negotiations!,05-10-2019 19:14:04,14150,71964,false,1126928410310266880"
"Twitter for iPhone,""We have been engaged in an unfair relationship with China for a long time. They have reneged on the commitments they made to the WTO particularly around intellectual property."" Carly Fiorina @MariaBartiromo,05-10-2019 13:39:11,14155,56359,false,1126844132079616002"
"Twitter for iPhone,Your all time favorite President got tired of waiting for China to help out and start buying from our FARMERS the greatest anywhere in the World!,05-10-2019 12:55:27,21806,116035,false,1126833126179840000"
"Twitter for iPhone,....If we bought 15 Billion Dollars of Agriculture from our Farmers far more than China buys now we would have more than 85 Billion Dollars left over for new Infrastructure Healthcare or anything else. China would greatly slow down and we would automatically speed up!,05-10-2019 12:07:24,15135,70650,false,1126821035146469376"
"Twitter for iPhone,Tariffs will make our Country MUCH STRONGER not weaker. Just sit back and watch! In the meantime China should not renegotiate deals with the U.S. at the last minute. This is not the Obama Administration or the Administration of Sleepy Joe who let China get away with ""murder!"",05-10-2019 11:48:26,16291,62384,false,1126816259851673601"
